Brand,Model,Segment,Seats,Range(km),Efficiency(Wh/km),Weight(kg),0-100(sec),1-Stop Range(km),Battery(kWh),Fastcharge(kW),Towing(kg),Cargo Volume(L),Price/range(/km),Price($)
Tesla,Model Y Long Range AWD (Juniper),D,5,455 km,165 Wh/km,2072 kg,4.8 sec,535 km,75.0 kWh,124 kW,1600 kg,971 L,€122 /km,"€52,990"
BMW,iX3 50 xDrive (MY26),D,5,610 km,178 Wh/km,2360 kg,4.9 sec,742 km,108.7 kWh,225 kW,2000 kg,578 L,€113 /km,"€68,900"
MG,MG4 Electric 64 kWh,C,5,360 km,171 Wh/km,1726 kg,7.9 sec,405 km,61.7 kWh,115 kW,500 kg,363 L,€102 /km,"€39,990"
BMW,iX xDrive40,E,5,360 km,197 Wh/km,2440 kg,6.1 sec,388 km,71.0 kWh,102 kW,2500 kg,500 L,€225 /km,"€77,300"
Tesla,Model Y RWD (Juniper),D,5,375 km,160 Wh/km,2003 kg,5.9 sec,438 km,60.0 kWh,110 kW,1600 kg,971 L,€128 /km,"€45,970"
Mercedes-Benz,CLA 250+,D,5,585 km,145 Wh/km,2055 kg,6.7 sec,763 km,85.0 kWh,235 kW,1500 kg,506 L,€92 /km,"€55,859"
Fiat,500e Hatchback 42 kWh,B,4,235 km,159 Wh/km,1365 kg,9.0 sec,261 km,37.3 kWh,67 kW,0 kg,185 L,€143 /km,"€34,990"
CUPRA,Born 150 kW - 58 kWh,C,5,350 km,166 Wh/km,1811 kg,7.3 sec,375 km,58.0 kWh,82 kW,0 kg,385 L,€110 /km,"€39,370"
CUPRA,Born 170 kW - 77 kWh,C,4,450 km,171 Wh/km,1946 kg,7.0 sec,488 km,77.0 kWh,115 kW,0 kg,385 L,€103 /km,"€46,450"
Kia,EV3 Long Range,B,5,455 km,171 Wh/km,1885 kg,7.7 sec,472 km,78.0 kWh,105 kW,1000 kg,485 L,€91 /km,"€41,390"
BYD,ATTO 2,B,5,245 km,184 Wh/km,1645 kg,7.9 sec,235 km,45.1 kWh,51 kW,750 kg,400 L,€135 /km,"€31,990"
Tesla,Model 3 RWD (Highland CATL LFP64),D,5,440 km,136 Wh/km,1836 kg,6.1 sec,520 km,60.0 kWh,110 kW,1000 kg,682 L,€96 /km,"€40,970"
BYD,ATTO 3 (MY23-24),C,5,330 km,183 Wh/km,1825 kg,7.3 sec,325 km,60.5 kWh,71 kW,0 kg,440 L,€122 /km,"€37,990"
Tesla,Model 3 Long Range RWD (Highland),D,5,550 km,136 Wh/km,1822 kg,5.2 sec,655 km,75.0 kWh,124 kW,1000 kg,682 L,€86 /km,"€44,990"
Tesla,Model 3 Long Range RWD (Highland),D,5,580 km,136 Wh/km,1822 kg,5.2 sec,688 km,79.0 kWh,120 kW,1000 kg,682 L,€83 /km,"€45,970"
Leapmotor,B10 67.1 kWh,C,5,360 km,181 Wh/km,1920 kg,8.0 sec,403 km,65.0 kWh,110 kW,750 kg,430 L,€93 /km,"€32,400"
Tesla,Model Y Long Range AWD,D,7,445 km,169 Wh/km,2054 kg,5.0 sec,524 km,75.0 kWh,124 kW,1600 kg,971 L,€126 /km,"€55,970"
Renault,5 E-Tech 52kWh 150hp,B,5,335 km,155 Wh/km,1504 kg,8.0 sec,348 km,52.0 kWh,70 kW,500 kg,326 L,€93 /km,"€32,900"
Tesla,Model Y Standard RWD (Juniper),D,5,380 km,158 Wh/km,1981 kg,7.2 sec,440 km,60.0 kWh,110 kW,1600 kg,952 L,€107 /km,"€40,970"
BYD,SEALION 7 91.3 kWh AWD Excellence,D,5,440 km,208 Wh/km,2510 kg,4.5 sec,502 km,91.3 kWh,165 kW,1500 kg,578 L,€140 /km,"€58,990"
Tesla,Model Y Long Range RWD (Juniper),D,5,470 km,160 Wh/km,1976 kg,5.6 sec,552 km,75.0 kWh,124 kW,1600 kg,971 L,€112 /km,"€50,970"
Volvo,EX30 Single Motor ER (MY24-26),B,5,365 km,178 Wh/km,1850 kg,5.3 sec,411 km,65.0 kWh,114 kW,1600 kg,325 L,€117 /km,"€44,990"
Tesla,Model Y Performance,D,5,430 km,174 Wh/km,2072 kg,4.0 sec,506 km,75.0 kWh,124 kW,1600 kg,971 L,€146 /km,"€60,970"
